0.980 (+/-0.002) for {'gamma': 0.1, 'C': 10000, 'degree': 4, 'kernel': 'poly'}
0.980 (+/-0.002) for {'gamma': 0.01, 'C': 10000, 'degree': 4, 'kernel': 'poly'}
0.980 (+/-0.002) for {'gamma': 0.001, 'C': 10000, 'degree': 4, 'kernel': 'poly'}
0.578 (+/-0.004) for {'gamma': 0.0001, 'C': 10000, 'degree': 4, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 10000, 'degree': 4, 'kernel': 'poly'}

0.980 (+/-0.002) for {'gamma': 0.1, 'C': 10000, 'degree': 5, 'kernel': 'poly'}
0.980 (+/-0.002) for {'gamma': 0.01, 'C': 10000, 'degree': 5, 'kernel': 'poly'}
0.980 (+/-0.001) for {'gamma': 0.001, 'C': 10000, 'degree': 5, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 10000, 'degree': 5, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 10000, 'degree': 5, 'kernel': 'poly'}

0.981 (+/-0.002) for {'gamma': 0.1, 'C': 10000, 'degree': 6, 'kernel': 'poly'}
0.981 (+/-0.002) for {'gamma': 0.01, 'C': 10000, 'degree': 6, 'kernel': 'poly'}
0.972 (+/-0.002) for {'gamma': 0.001, 'C': 10000, 'degree': 6, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 10000, 'degree': 6, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 10000, 'degree': 6, 'kernel': 'poly'}

0.981 (+/-0.002) for {'gamma': 0.1, 'C': 10000, 'degree': 7, 'kernel': 'poly'}
0.981 (+/-0.002) for {'gamma': 0.01, 'C': 10000, 'degree': 7, 'kernel': 'poly'}
0.956 (+/-0.001) for {'gamma': 0.001, 'C': 10000, 'degree': 7, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 10000, 'degree': 7, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 1e-05, 'C': 10000, 'degree': 7, 'kernel': 'poly'}

0.981 (+/-0.002) for {'gamma': 0.1, 'C': 10000, 'degree': 8, 'kernel': 'poly'}
0.981 (+/-0.002) for {'gamma': 0.01, 'C': 10000, 'degree': 8, 'kernel': 'poly'}
0.908 (+/-0.002) for {'gamma': 0.001, 'C': 10000, 'degree': 8, 'kernel': 'poly'}
0.183 (+/-0.000) for {'gamma': 0.0001, 'C': 10000, 'degree': 8, 'kernel': 'poly'}
